File,Size_GB,Duration_min,Video_Codec,Resolution,Video_Bitrate_kbps,Audio_Codec,Audio_Channels,Audio_Bitrate_kbps,Quality_Score,Recommendation,Notes
"/mnt/media/legacy-media/Movies/1080p/A Beautiful Mind/A.Beautiful.Mind.2001.1080p.BluRay.x264-KaKa.mkv",.13,135.3,AVC,1920x1040,N/A,DTS,6,1509,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Blue.Ruin.2013.LIMITED.1080p.BluRay.x264-GECKOS/Blue.Ruin.2013.LIMITED.1080p.BluRay.x264-GECKOS.mkv",6.55,92.2,AVC,1920x808,8872,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Edge.Of.Tomorrow.2014.720p.BluRay.x264-SPARKS/Edge.of.Tomorrow.2014.720p.BluRay.x264-SPARKS.mkv",5.46,113.4,AVC,1280x536,5379,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/1080p/Ex.Machina.2015.1080p.BluRay.DTS.x264-CyTSuNee/Ex.Machina.2015.1080p.BluRay.DTS.x264-CyTSuNee.mkv",7.94,108.0,AVC,1920x804,9025,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Fantasia.2000.1999.1080p.BluRay.DTS.x264-CyTSuNee/Fantasia.2000.1999.1080p.BluRay.DTS.x264-CyTSuNee.mkv",2.54,74.5,AVC,1920x1080,1138,DTSDTSAC-3,666,15090001509000640,65,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (1138kbps). Unknown audio (DTSDTSAC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Indiana.Jones.and.the.Raiders.of.the.Lost.Ark.1981.1080p.BluRay.x264-BARC0DE/Indiana.Jones.and.the.Raiders.of.the.Lost.Ark.1981.1080p.BluRay.x264-BARC0DE.mkv",9.19,115.3,AVC,1920x816,10000,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Indiana.Jones.and.the.Temple.of.Doom.1984.1080p.BluRay.x264-BARC0DE/Indiana.Jones.and.the.Temple.of.Doom.1984.1080p.BluRay.x264-BARC0DE.mkv",9.39,118.4,AVC,1920x816,10000,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/1080p/Juno.2007.Multi.1080p.BluRay.x264.DTS-fidelio/juno.2007.multi.1080p.bluray.x264.dts-fidelio.mkv",7.65,96.0,AVC,1920x1040,9125,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL/wicked.KTSS4102/Kingsman/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL/Kingsman.The.Secret.Service.2014.1080p.BluRay.x264.DTS-HD.MA.7.1-NL.mkv",12.90,128.6,AVC,1920x808,N/A,DTS,8,N/A,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 8ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/Belangrijk/Place2Use.net.Intro.mp4",.01,1.5,AVC,854x480,1297,AAC,2,192,30,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 2ch audio. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee.mkv",10.13,133.8,AVC,1280x692,9329,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/place2useupload/Place2Use.net.Intro.mp4",.01,1.5,AVC,854x480,1297,AAC,2,192,30,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 2ch audio. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/1080p/espace.1987.BRrip.x264-AAC/La folle histoire de l'espace.1987.BRrip.x264-AAC.1G46.mkv",1.45,96.2,AVC,1280x694,1974,AAC,6,192,35,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 6ch surround. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/A.Good.Year.2006.MULTi.1080p.BluRay.x264-ULSHD/a.good.year.2006.multi.1080p.bluray.x264-ulshd.mkv",8.74,117.5,AVC,1920x824,8375,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Birdman (2014)/Birdman (2014).mkv",15.60,119.2,AVC,1920x1040,17073,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Boyhood (2014)/Boyhood (2014).mkv",16.50,165.6,AVC,1920x1040,12758,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Brooklyn.2015.1080p.BluRay.X264-AMIABLE/Brooklyn.2015.1080p.BluRay.X264-AMIABLE.mkv",7.64,111.9,AVC,1920x1040,8272,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Carol.2015.LIMITED.720p.BluRay.x264-GECKOS/Carol.2015.LIMITED.720p.BluRay.x264-GECKOS (1).mkv",5.46,118.4,AVC,1280x688,5094,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/District 9 (2009)/District 9 (2009).mkv",13.10,112.4,AVC,1920x1040,15000,DTSAC-3,62,1509000192,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSAC-3). 62ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Dumb And Dumber To (2014)/Dumb And Dumber To (2014).mkv",7.94,109.5,AVC,1920x1040,8872,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Gone.Girl.2014.1080p.WEB-DL/Gone.Girl.2014.1080p.WEB-DL.DD5.1.H264-RARBG.mkv",4.46,149.2,AVC,1916x796,3897,AC-3,6,384,60,KEEP,"H.264/AVC codec. 720p. Acceptable bitrate. Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Guardians.of.the.Galaxy.2014.1080p.BluRay.DTS-HD.x264-BARC0DE/Guardians.of.the.Galaxy.2014.1080p.BluRay.DTS-HD.x264-BARC0DE.mkv",12.37,120.8,AVC,1920x800,N/A,DTS,6,N/A,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Harry.Potter.3.And.The.Prisoner.Of.Azkaban.2004.1080p.BluRay.DTS.x264-CyTSuNee/Harry.Potter.3.and.the.Prisoner.of.Azkaban.2004.1080p.BluRay.DTS.x264-CyTSuNee.mkv",12.31,141.7,AVC,1920x798,10042,DTSAC-3AC-3,666,1509000448000448,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSAC-3AC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Harry.Potter.4.And.The.Goblet.Of.Fire.2005.1080p.BluRay.DTS.x264-CyTSuNee/Harry.Potter.4.and.the.Goblet.of.Fire.2005.1080p.BluRay.DTS.x264-CyTSuNee.mkv",14.50,157.0,AVC,1920x798,10816,DTSAC-3AC-3,666,1509000448000448,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSAC-3AC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Harry.Potter.And.The.Chamber.Of.Secrets.2002.EXTENDED.REPACK.1080p.BluRay.x264-SECTOR7/sector7-hp.chamber.of.secrets.extended.rp-x264.mkv",13.12,174.4,AVC,1920x800,9261,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Harry.Potter.And.The.Half.Blood.Prince.REPACK.1080p.BluRay.x264-METiS/m-hp-rpk-1080p.mkv",13.12,153.5,AVC,1920x800,11596,AC-3,6,640,75,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Standard Dolby audio. 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Harry.Potter.And.The.Philosophers.Stone.2001.Extended.MULTi.1080p.Bluray.x264-FHD/fhd-hp1ex1080p.mkv",13.12,158.8,AVC,1920x800,9867,AC-3DTS,66,4480001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (AC-3DTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Harry.Potter.and.the.Order.of.the.Phoenix.2007.PROPER.1080p.BluRay.x264-PHOBOS/Harry.Potter.and.the.Order.of.the.Phoenix.2007.PROPER.1080p.BluRay.x264-PHOBOS.mkv",12.01,138.2,AVC,1920x800,11068,FLAC,6,1377,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (FLAC). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Memento.2000.1080p.BluRay.x264-HDMI/memento.2000.1080p.bluray.x264-hdmi.mkv",10.93,113.4,AVC,1920x816,13161,AC-3,6,640,75,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Standard Dolby audio. 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Nightcrawler (2014)/Nightcrawler (2014).mkv",14.15,118.0,AVC,1920x800,N/A,DTS,6,N/A,60,KEEP,"H.264/AVC codec. 720p. High-quality audio (DTS). 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Pulp_Fiction_(1994)_1080p_BluRay_DTS_x264/Pulp Fiction (1994) 1080p BluRay DTS x264/Pulp Fiction (1994) 1080p BluRay DTS x264/Pulp.Fiction.1994.Repack.1080p.BluRay.DTS.DL.x264-HDC.mkv",12.17,154.4,AVC,1920x816,9765,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Rocky (1976)/Rocky (1976).mkv",10.92,119.6,AVC,1920x1040,11568,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Rocky 2 (1979)/Rocky 2 (1979).mkv",15.25,119.1,AVC,1920x1040,16039,DTSDTS,66,7680001509,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Rocky III (1982)/Rocky III (1982).mkv",7.94,99.6,AVC,1920x1040,9140,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Rocky IV (1985)/Rocky IV (1985).mkv",10.11,91.5,AVC,1920x1080,13578,DTSDTS,66,7680001509,80,KEEP,"H.264/AVC codec. 1080p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/SW2 1080p/SW2 1080p.mkv",17.08,142.4,AVC,1920x1080,N/A,AC-3DTSAC-3,666,640000640,65,KEEP,"H.264/AVC codec. 1080p. Unknown audio (AC-3DTSAC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/SW3 1080p/SW3 1080p.mkv",16.78,140.0,AVC,1920x1080,N/A,AC-3DTSAC-3,666,640000640,65,KEEP,"H.264/AVC codec. 1080p. Unknown audio (AC-3DTSAC-3). 666ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Se7en.1995.1080p.BluRay.DTS.x264-CyTSuNee/Se7en.1995.1080p.NL/Se7en.1995.1080p.BluRay.DTS.x264-CyTSuNee/Se7en.1995.1080p.BluRay.DTS.x264-CyTSuNee.mkv",14.50,126.8,AVC,1920x800,14868,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Se7en.1995.REMASTERED.BluRay.720p.H264-20-40/Se7en.1995.REMASTERED.BluRay.720p.H264.mp4",1.00,122.7,AVC,1216x544,1107,AAC,2,56,30,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 2ch audio. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/Star Wars Episode I The Phantom Menace (1999)/Star Wars Episode I The Phantom Menace (1999).mkv",15.17,136.1,AVC,1920x818,14000,DTSAC-3AC-3,622,1509000224000224,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSAC-3AC-3). 622ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Star Wars Episode IV A New Hope (1977)/Star Wars Episode IV A New Hope (1977).mkv",9.83,124.7,AVC,1920x816,9010,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
